price_in_aud,brand,year,made_in,body_type,engine_power_hp,torque_nm,no_of_cylinders,transmission_type,gear_box_speed,steering_type,kerb_weight_lbs,front_brake,rear_brake,mileage_in_city_mpg,mileage_on_highway_mpg,fuel_type,seating_capacity,fuel_tank_capacity_litres,no_of_doors
88704.0,BMW,2023,Germany,suv,335.0,450.192,4.0,automatic,8,power,3898.0,abs,abs,25.0,32.0,gasoline,5,68.22,4
144000.0,BMW,2023,Germany,suv,335.0,447.48,6.0,automatic,8,power,5370.0,disc,disc,19.0,24.0,gasoline,7,83.00099999999999,5
55584.0,BMW,2023,Toledo North,suv,228.0,349.848,4.0,automatic,8,power,3664.0,disc,disc,24.0,31.0,gasoline,5,61.019000000000005,4
52704.0,BMW,2023,Toledo North,suv,228.0,349.848,4.0,automatic,8,power,3499.0,disc,disc,24.0,32.0,gasoline,5,61.019000000000005,4
122400.0,BMW,2023,Toledo North,coupe,335.0,499.00800000000004,6.0,automatic,8,rack & pinion,3933.0,disc,disc,23.0,30.0,gasoline,4,68.22,2
67565.0,Lexus,2023,Canada,suv,275.0,429.85200000000003,4.0,automatic,8,automatic,4387.0,disc,disc,19.0,26.0,gasoline,5,72.768,4
70560.0,Lexus,2022,Japan,suv,240.0,226.45200000000003,4.0,automatic,8,power,4080.0,disc,disc,41.0,37.0,premium,5,54.955,4
67752.0,Lexus,2022,Japan,suv,275.0,429.85200000000003,4.0,automatic,8,power,4035.0,disc,disc,22.0,28.0,premium,5,54.955,4
64224.0,Lexus,2022,Japan,suv,240.0,226.45200000000003,4.0,automatic,8,power,4080.0,disc,disc,41.0,37.0,premium,5,54.955,4
65592.0,Lexus,2022,Japan,sedan,311.0,379.68,6.0,automatic,6,power,3880.0,disc,disc,19.0,26.0,gasoline,5,65.946,4
82656.0,Lexus,2022,Japan,suv,304.0,238.656,4.0,automatic,8,power,4475.0,disc,disc,20.0,26.0,hybrid,5,54.955,4
71136.0,Lexus,2022,Japan,suv,275.0,429.85200000000003,4.0,automatic,8,power,4035.0,disc,disc,22.0,29.0,premium,5,54.955,4
64800.0,Lexus,2022,Japan,suv,275.0,429.85200000000003,4.0,automatic,8,power,4035.0,disc,disc,22.0,29.0,premium,5,54.955,4
64080.0,Lexus,2022,Japan,suv,203.0,249.50400000000002,4.0,automatic,8,power,3660.0,disc,disc,26.0,33.0,premium,5,54.955,4
