price_in_aud,year,engine_power_hp,torque_nm,no_of_cylinders,gear_box_speed,kerb_weight_lbs,mileage_in_city_mpg,mileage_on_highway_mpg,seating_capacity,fuel_tank_capacity_litres,no_of_doors,brand,made_in,body_type,transmission_type,steering_type,front_brake,rear_brake,fuel_type
59184.0,2022,228.0,349.848,4.0,9,4394.0,22.0,27.0,6,83.38,4,GMC,United States,suv,automatic,electric rack & pinion,disc,disc,gasoline
53424.0,2022,228.0,349.848,4.0,9,4342.0,22.0,27.0,6,83.38,4,GMC,United States,suv,automatic,electric rack & pinion,disc,disc,gasoline
51984.0,2022,276.0,404.088,6.0,8,3975.0,20.0,26.0,2,117.49,2,GMC,Japan,van,automatic,power,disc,disc,gasoline
104688.0,2022,420.0,623.76,8.0,10,3975.0,14.0,19.0,7,106.12,5,GMC,United States,suv,automatic,power rack & pinion,disc,disc,gasoline
88704.0,2022,355.0,519.3480000000001,8.0,10,8300.0,15.0,20.0,8,106.12,5,GMC,United States,suv,automatic,power rack & pinion,disc,disc,gasoline
266688.0,2022,1000.0,1000.0,4.0,1,3975.0,20.0,26.0,2,68.22,2,Tesla,United States,truck,automatic,power,disc,disc,electric
151186.0,2022,670.0,400.02,4.0,1,4561.0,124.0,115.0,5,68.22,4,Tesla,United States,hatchback,automatic,electric,disc,disc,electric
57456.0,2023,290.0,400.02,4.0,1,3975.0,20.0,26.0,4,68.22,4,Tesla,United States,truck,automatic,power,disc,disc,gasoline
80626.0,2022,434.49,493.0,4.0,1,4250.0,20.0,26.0,5,68.22,4,Tesla,United States,sedan,automatic,power,disc,abs,gasoline
100656.0,2023,290.0,400.02,4.0,1,5648.0,100.0,95.0,4,68.22,4,Tesla,United States,truck,automatic,power,disc,disc,electric
71856.0,2023,290.0,400.02,4.0,1,5648.0,100.0,95.0,4,68.22,4,Tesla,United States,truck,automatic,power,disc,disc,electric
143986.0,2022,670.0,420.36,4.0,1,5185.0,20.0,26.0,5,68.22,4,Tesla,United States,suv,automatic,rack & pinion,disc,disc,electric
360000.0,2022,290.0,400.02,4.0,1,3975.0,20.0,26.0,2,68.22,2,Tesla,United States,coupe,automatic,electric,disc,disc,electric
84946.0,2022,290.0,400.02,4.0,1,4250.0,118.0,107.0,5,68.22,4,Tesla,United States,sedan,automatic,rack & pinion,disc,disc,electric
63346.0,2022,290.0,400.02,4.0,1,3648.0,150.0,133.0,5,68.22,4,Tesla,United States,sedan,automatic,rack & pinion,disc,disc,electric
151186.0,2022,670.0,400.02,4.0,1,5185.0,20.0,26.0,5,68.22,4,Tesla,United Kingdom,suv,automatic,electric,disc,disc,electric
93586.0,2023,290.0,400.02,4.0,1,4555.0,115.0,106.0,5,68.22,4,Tesla,United Kingdom,sedan,automatic,rack & pinion,disc,disc,electric
151186.0,2022,670.0,400.02,4.0,1,5185.0,20.0,26.0,5,68.22,4,Tesla,United States,suv,automatic,electric,disc,disc,electric
172786.0,2022,1020.0,400.02,4.0,1,5390.0,103.0,93.0,5,68.22,4,Tesla,United States,suv,automatic,electric,disc,disc,electric
187186.0,2022,1020.0,400.02,4.0,1,4766.0,119.0,112.0,5,68.22,4,Tesla,United States,hatchback,automatic,electric,disc,disc,electric
100656.0,2022,290.0,400.02,4.0,1,3975.0,20.0,26.0,4,68.22,4,Tesla,United States,truck,automatic,power,disc,disc,gasoline
71856.0,2022,290.0,400.02,4.0,1,3975.0,20.0,26.0,4,68.22,4,Tesla,United States,truck,automatic,power,disc,disc,gasoline
57456.0,2022,290.0,400.02,4.0,1,3975.0,20.0,26.0,4,68.22,4,Tesla,United States,truck,automatic,power,disc,disc,gasoline
60466.0,2022,290.0,400.02,4.0,1,4416.0,20.0,26.0,5,68.22,4,Tesla,United States,truck,automatic,electric,disc,disc,electric
151186.0,2022,290.0,400.02,4.0,1,5648.0,100.0,95.0,5,68.22,4,Tesla,United States,truck,automatic,electric,disc,disc,electric
92146.0,2022,290.0,400.02,4.0,1,4555.0,115.0,106.0,5,68.22,4,Tesla,United States,suv,automatic,rack & pinion,disc,disc,electric
84946.0,2022,290.0,400.02,4.0,1,4555.0,131.0,117.0,5,68.22,4,Tesla,United States,sedan,automatic,rack & pinion,disc,disc,electric
115186.0,2021,290.0,400.02,4.0,1,5534.0,109.0,101.0,5,68.22,4,Tesla,United States,suv,automatic,electric,disc,disc,electric
143986.0,2021,290.0,400.02,4.0,1,5185.0,100.0,95.0,5,68.22,4,Tesla,United States,suv,automatic,electric,disc,disc,electric
136786.0,2022,290.0,400.02,4.0,1,4561.0,124.0,115.0,5,68.22,4,Tesla,United States,hatchback,automatic,electric,disc,disc,electric
60466.0,2022,283.0,400.02,4.0,1,3554.0,20.0,26.0,5,68.22,4,Tesla,United States,sedan,automatic,power,disc,disc,electric
84946.0,2022,290.0,400.02,4.0,1,4250.0,118.0,107.0,5,68.22,4,Tesla,United States,sedan,automatic,rack & pinion,disc,disc,electric
73426.0,2022,290.0,400.02,4.0,1,4250.0,141.0,127.0,5,68.22,4,Tesla,United States,sedan,automatic,rack & pinion,disc,disc,electric
172786.0,2021,1020.0,400.02,4.0,1,5390.0,20.0,26.0,5,68.22,4,Tesla,United States,suv,automatic,electric,disc,disc,electric
201586.0,2021,290.0,400.02,4.0,1,4766.0,20.0,26.0,5,68.22,4,Tesla,United States,hatchback,automatic,electric,disc,disc,electric
172786.0,2021,1020.0,400.02,4.0,1,4766.0,20.0,26.0,5,68.22,4,Tesla,United States,suv,automatic,electric,disc,disc,electric
143986.0,2021,290.0,400.02,4.0,1,5648.0,100.0,95.0,5,68.22,4,Tesla,United States,suv,automatic,electric,disc,disc,electric
86386.0,2021,290.0,400.02,4.0,1,4416.0,115.0,106.0,5,68.22,4,Tesla,United States,suv,automatic,electric,disc,disc,electric
60466.0,2021,290.0,400.02,4.0,1,4416.0,20.0,26.0,5,68.22,4,Tesla,United States,suv,automatic,electric,disc,disc,electric
71986.0,2021,290.0,400.02,4.0,1,4416.0,131.0,117.0,5,68.22,4,Tesla,United States,sedan,automatic,electric,disc,disc,electric
54706.0,2021,283.0,400.02,4.0,1,3554.0,20.0,26.0,5,68.22,4,Tesla,United States,sedan,automatic,power,disc,disc,electric
79186.0,2021,290.0,400.02,4.0,1,4036.0,118.0,107.0,5,68.22,4,Tesla,United States,sedan,automatic,electric,disc,disc,electric
132466.0,2021,290.0,400.02,4.0,1,4941.0,114.0,106.0,5,68.22,4,Tesla,United States,hatchback,automatic,electric,disc,disc,electric
99965.0,2021,290.0,400.02,4.0,1,4883.0,121.0,112.0,5,68.22,4,Tesla,United States,sedan,automatic,electric,disc,disc,electric
67666.0,2021,290.0,400.02,4.0,1,4031.0,124.0,116.0,5,68.22,4,Tesla,United States,sedan,automatic,electric,disc,disc,electric
57600.0,2021,290.0,400.02,4.0,8,3975.0,20.0,26.0,4,68.22,4,Tesla,United States,truck,automatic,power,disc,disc,gasoline
288000.0,2023,1360.0,1200.0600000000002,4.0,1,3975.0,20.0,26.0,4,68.22,4,Tesla,United States,coupe,automatic,power,disc,disc,gasoline
71986.0,2021,290.0,400.02,4.0,1,4416.0,20.0,26.0,5,68.22,4,Tesla,United States,suv,automatic,electric,disc,disc,electric
76306.0,2020,290.0,400.02,4.0,1,4099.0,20.0,26.0,5,68.22,4,Tesla,United States,sedan,automatic,electric,disc,disc,electric
64066.0,2020,290.0,400.02,4.0,1,4071.0,20.0,26.0,5,68.22,4,Tesla,United States,sedan,automatic,electric,disc,disc,electric
151186.0,2020,762.0,400.02,4.0,1,5421.0,20.0,26.0,7,68.22,4,Tesla,United States,suv,automatic,power,disc,disc,electric
143986.0,2020,290.0,400.02,4.0,1,4941.0,20.0,26.0,5,68.22,4,Tesla,United States,hatchback,automatic,power,disc,disc,electric
52546.0,2020,283.0,400.02,4.0,1,3624.0,20.0,26.0,5,68.22,4,Tesla,United States,sedan,automatic,power,disc,disc,electric
115186.0,2020,290.0,400.02,4.0,1,4883.0,20.0,26.0,5,68.22,4,Tesla,United States,sedan,automatic,power,disc,disc,electric
13507.0,2022,290.0,400.02,3.0,5,2231.0,15.0,17.0,5,151.6,5,Renault,India,suv,manual,power,disc,drum,gasoline
14083.0,2022,290.0,400.02,3.0,5,2231.0,15.0,17.0,5,151.6,5,Renault,India,suv,manual,power,disc,drum,gasoline
